model,entity_type,precision,recall,f1,support
XLM-RoBERTa,SEX,0.9239766081871345,0.9813664596273292,0.9518072289156626,161
XLM-RoBERTa,STATE,0.9776785714285714,1.0,0.9887133182844243,219
XLM-RoBERTa,STREET,0.9949238578680203,0.9949238578680203,0.9949238578680203,197
XLM-RoBERTa,TIME,0.9785407725321889,0.991304347826087,0.9848812095032398,230
XLM-RoBERTa,URL,0.9954337899543378,0.9954337899543378,0.9954337899543378,219
XLM-RoBERTa,USERAGENT,0.9940828402366864,0.9940828402366864,0.9940828402366864,169
XLM-RoBERTa,USERNAME,1.0,0.9957264957264957,0.9978586723768736,234
XLM-RoBERTa,VEHICLEVIN,0.972972972972973,0.9863013698630136,0.979591836734694,73
XLM-RoBERTa,VEHICLEVRM,0.9895833333333334,1.0,0.9947643979057591,95
XLM-RoBERTa,ZIPCODE,0.9869565217391304,0.9956140350877193,0.9912663755458515,228
